subject,session,run,status,rows_count,rowe_count,expected_count,reason
sub-07,ses-garnettdream,13,skipped,341,341,,"unsupported GarnettDream run layout for current text_embeddings_garnettdream.npy; found runs=11,12,13,14,21,22,23,24, supported runs=11,12,13,14,15,21,22,23,24"
sub-07,ses-garnettdream,14,skipped,490,490,,"unsupported GarnettDream run layout for current text_embeddings_garnettdream.npy; found runs=11,12,13,14,21,22,23,24, supported runs=11,12,13,14,15,21,22,23,24"
sub-07,ses-garnettdream,21,skipped,282,282,,"unsupported GarnettDream run layout for current text_embeddings_garnettdream.npy; found runs=11,12,13,14,21,22,23,24, supported runs=11,12,13,14,15,21,22,23,24"
sub-07,ses-garnettdream,22,skipped,235,235,,"unsupported GarnettDream run layout for current text_embeddings_garnettdream.npy; found runs=11,12,13,14,21,22,23,24, supported runs=11,12,13,14,15,21,22,23,24"
sub-07,ses-garnettdream,23,skipped,294,294,,"unsupported GarnettDream run layout for current text_embeddings_garnettdream.npy; found runs=11,12,13,14,21,22,23,24, supported runs=11,12,13,14,15,21,22,23,24"
sub-07,ses-garnettdream,24,skipped,186,186,,"unsupported GarnettDream run layout for current text_embeddings_garnettdream.npy; found runs=11,12,13,14,21,22,23,24, supported runs=11,12,13,14,15,21,22,23,24"
sub-08,ses-garnettdream,11,skipped,494,494,,"unsupported GarnettDream run layout for current text_embeddings_garnettdream.npy; found runs=11,12,13,14,21,22,23,24, supported runs=11,12,13,14,15,21,22,23,24"
sub-08,ses-garnettdream,12,skipped,169,169,,"unsupported GarnettDream run layout for current text_embeddings_garnettdream.npy; found runs=11,12,13,14,21,22,23,24, supported runs=11,12,13,14,15,21,22,23,24"
sub-08,ses-garnettdream,13,skipped,341,341,,"unsupported GarnettDream run layout for current text_embeddings_garnettdream.npy; found runs=11,12,13,14,21,22,23,24, supported runs=11,12,13,14,15,21,22,23,24"
sub-08,ses-garnettdream,14,skipped,490,490,,"unsupported GarnettDream run layout for current text_embeddings_garnettdream.npy; found runs=11,12,13,14,21,22,23,24, supported runs=11,12,13,14,15,21,22,23,24"
sub-08,ses-garnettdream,21,skipped,282,282,,"unsupported GarnettDream run layout for current text_embeddings_garnettdream.npy; found runs=11,12,13,14,21,22,23,24, supported runs=11,12,13,14,15,21,22,23,24"
sub-08,ses-garnettdream,22,skipped,235,235,,"unsupported GarnettDream run layout for current text_embeddings_garnettdream.npy; found runs=11,12,13,14,21,22,23,24, supported runs=11,12,13,14,15,21,22,23,24"
sub-08,ses-garnettdream,23,skipped,294,294,,"unsupported GarnettDream run layout for current text_embeddings_garnettdream.npy; found runs=11,12,13,14,21,22,23,24, supported runs=11,12,13,14,15,21,22,23,24"
sub-08,ses-garnettdream,24,skipped,186,186,,"unsupported GarnettDream run layout for current text_embeddings_garnettdream.npy; found runs=11,12,13,14,21,22,23,24, supported runs=11,12,13,14,15,21,22,23,24"
